,Closed PnL,Closed PnL,Closed PnL,Size USD,Size USD,Size USD
,sum,mean,median,sum,mean,median
classification,,,,,,
Extreme Fear,739110.24849,34.53786207897196,0.0,114484261.44,5349.7318429906545,766.15
Extreme Greed,2715171.310673,67.89286133909282,0.0,124465164.57,3112.2515645629123,500.05
Fear,3357155.441642,54.2903996254993,0.0,483324789.79,7816.109930785776,735.96
Greed,2150129.272951,42.74355948851957,0.0,288582494.72,5736.884375086974,555.0
Neutral,1292920.67555,34.30771839807886,0.0,180242063.08,4782.732661465797,547.655
